index,title,href,body,date
0,"Sahabat Ganjar Jambi on Instagram: ""Ganjar pemimpin dengan sosok ...",https://www.instagram.com/p/Cm3KrJSPKey/,"0 Likes, 0 Comments - Sahabat Ganjar Jambi (@sahabatganjar_jambi) on Instagram: ""Ganjar pemimpin dengan sosok merakyat! #ganjarpranowo #ganjar_pranowo #ganjarkita…""",1/1/2023
1,"TugimanGP on Instagram: ""Ganjar Pranowo Presidenku #ganjarpranowo # ...",https://www.instagram.com/p/Cm3Slj9N2Im/,"101 Likes, 4 Comments - TugimanGP (@tugimangp) on Instagram: ""Ganjar Pranowo Presidenku #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia…""",1/1/2023
2,"Radio Timur on Instagram: ""Ganjar Pranowo sosok pemimpin yang merakyat ...",https://www.instagram.com/p/Cm3b2dVPTWN/,"800 Likes, 30 Comments - Radio Timur (@radio_timur) on Instagram: ""Ganjar Pranowo sosok pemimpin yang merakyat #ganjarpranowo #ganjar_pranowo #ganjarkita…""",1/1/2023
3,"SAHABAT GANJAR JAWA TIMUR on Instagram: ""Doa terbaik santri Jatim untuk ...",https://www.instagram.com/p/Cm3VLjzJOPM/,"2,498 Likes, 4 Comments - SAHABAT GANJAR JAWA TIMUR (@sahabatganjarjatim) on Instagram: ""Doa terbaik santri Jatim untuk pak Ganjar pemimpin merakyat #ganjarpranowo #ganjar_pranowo…""",1/1/2023
4,"NTT&ganjar basodara on Instagram: ""Warga butuh pemimpin kek pak ganjar ...",https://www.instagram.com/p/Cm3ctQGyVDG/,"897 Likes, 30 Comments - NTT&ganjar basodara (@mincebabu) on Instagram: ""Warga butuh pemimpin kek pak ganjar #ganjarpranowo #ganjar_pranowo #ganjarkita…""",1/1/2023
5,pinterpolitik on Instagram: Dengan rendahnya elektabilitas Puan ...,https://www.instagram.com/p/Cm8rQNngOkW/,"Dengan rendahnya elektabilitas Puan Maharani, berbagai pihak menilai PDIP tidak rasional apabila mengusung sang Ketua DPR RI di Pilpres 2024. ... Tetap ganjar yg bakal diusung. 2d. 1 like. Reply. trywidhiyoko. Oohhhh silahkan pengamat atau survai merendahkan Puan, tapi ingat! klo PDIP pemenang Pemilu... 2d. Reply. albert.9905. Puan for capres ...",1/2/2023
6,asumsico on Instagram: Ganjar Pranowo disebut telah diberi kode dari ...,https://www.instagram.com/p/Cm8f8KtPPnH/,asumsico • Original audio. Original audio. 692 likes likes,1/2/2023
7,pinterpolitik on Instagram: Dengan rendahnya elektabilitas Puan ...,https://www.instagram.com/p/Cm8rQNngOkW/,"Dengan rendahnya elektabilitas Puan Maharani, berbagai pihak menilai PDIP tidak rasional apabila mengusung sang Ketua DPR RI di Pilpres 2024. ... Tetap ganjar yg bakal diusung. 2d. 1 like. Reply. trywidhiyoko. Oohhhh silahkan pengamat atau survai merendahkan Puan, tapi ingat! klo PDIP pemenang Pemilu... 2d. Reply. albert.9905. Puan for capres ...",1/3/2023
8,"Asumsi on Instagram: ""Indikator Politik Indonesia merilis survei ...",https://www.instagram.com/p/Cm_i1VqvQLH/,"Indikator Politik Indonesia merilis survei elektabilitas bakal calon presiden (capres) 2024. Hasilnya, Gubenur Jawa Tengah Ganjar Pranowo dan Menteri Pertahanan Prabowo Subianto alami peningkatan elektabilitas. Sedangkan elektabilitas Anies Baswedan turun. Ketiganya bersaing di semua simulasi nama-nama kandidat presiden.",1/3/2023
9,asumsico on Instagram: Ganjar Pranowo disebut telah diberi kode dari ...,https://www.instagram.com/p/Cm8f8KtPPnH/,asumsico • Original audio. Original audio. 692 likes likes,1/3/2023
