index,title,href,body,date
0,Ganjar Blak-blakan soal Dana Baznas buat Kader PDIP - Twitter,https://twitter.com/CNNIndonesia/status/1609339713298771968,Ganjar Blak-blakan soal Dana Baznas buat Kader PDIP. 01 Jan 2023 00:04:22,1/1/2023
1,"Relawan Ganjar JBI🏋🏻‍♀️ on Twitter: ""Ganjar pemimpin dengan sosok ...",https://twitter.com/ganjar_jbi/status/1609444414065348609,"""Ganjar pemimpin dengan sosok merakyat! #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab""",1/1/2023
2,Relawan Ganjar JBI🏋🏻‍♀️ on Twitter,https://twitter.com/ganjar_jbi/status/1609444430062424064,"""Nelayan pesisir ibu kota dukung Ganjar presiden 2024 #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab""",1/1/2023
3,"🇮🇩🇲🇨 MARQUEZ 🇲🇨🇲🇨 on Twitter: ""Ketum PDIP Megawati Soekarno Putri Akan ...",https://twitter.com/MARQUEZ__93/status/1609399705703960581,"Ketum PDIP Megawati Soekarno Putri Akan Mengumumkan Capres PDIP Tak Jauh dari tgl 10 Januari 2023, Mengerucut ke 2 Nama yaitu GANJAR PRANOWO & PUAN MAHARANI, Yang Dukung GANJAR PRANOWO Like, Retweet dan Komen. Gue Pribadi sampai Dunia Runtuh tetap Dukung GANJAR RI 1 2024 🤲🇮🇩🇮🇩.",1/1/2023
4,Relawan Ganjar JBI🏋🏻‍♀️ on Twitter,https://twitter.com/ganjar_jbi/status/1609444407249629187,"""Ganjar berhasil turunkan kemiskinan ekstrem di 5 daerah #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab""",1/1/2023
5,"Guntur Setiya Aji on Twitter: ""Seorang pemimpin itu hrs kreatif dlm ...",https://twitter.com/guntur_setiyaji/status/1609362107568656384,"""Seorang pemimpin itu hrs kreatif dlm mencari solusi bukan seenak jidatnya sendiri?apa anda ga malu Mas Ganjar??apa lg anda akan menyakinkan diri jd Presiden tapi tindakan anda ini bukan mencerminkan seorang pemimpin tapi,Ya saya bisa melihat kapasitas anda dalam mencari solusi!!""",1/1/2023
6,"Relawan Ganjar JBI🏋🏻‍♀️ on Twitter: ""Ganjar sosok pemimpin penuh ...",https://twitter.com/ganjar_jbi/status/1609792895107715072,"Ganjar sosok pemimpin penuh inovasi dan merakyat #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab. Translate Tweet. 6:05 AM · Jan 2, 2023. 3.",1/2/2023
7,Fans Pak Ganjar Pranowo #ganjarpranowofor2024 on Twitter,https://twitter.com/FansPakGanjar/status/1609810399528128514,"""@ganjar_jbi Pak Ganjar layak jadi pemimpin #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab""",1/2/2023
8,"Ganjaran app on Twitter: ""Ganjar Pranowo adalah seorang pemimpin yang ...",https://twitter.com/GanjaranApp/status/1609716101570494465,"""Ganjar Pranowo adalah seorang pemimpin yang sangat visioner. Karena mampu memanfaatkan efektivitas teknologi yang berkembang dengan tepat guna untuk menjalankan tugas-tugasnya sebagai seorang gubernur. #GanjarSiap #GanjaranApp #GanjarKita #capres2024 #GanjarPranowo""",1/2/2023
9,Ketua Baznas Jateng soal Gaduh Bantuan: Pembunuhan Karakter Ganjar,https://twitter.com/CNNIndonesia/status/1609749942578614273,Ketua Baznas Jateng soal Gaduh Bantuan: Pembunuhan Karakter Ganjar. 02 Jan 2023 03:14:28. Ketua Baznas Jateng soal Gaduh Bantuan: Pembunuhan Karakter Ganjar. 02 Jan 2023 03:14:28 ...,1/2/2023
10,"Sahabat Ganjar Jawa Timur Official on Twitter: ""Dukungan dari santri ...",https://twitter.com/SAGA_Jatim/status/1609792808826851333,Dukungan dari santri Jombang buat Pak Ganjar dengan Doa bersama #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab . 02 Jan 2023 06:04:48,1/2/2023
11,Narasi Ganjar's Tweets - Twitter,https://twitter.com/NarasiGanjar,Pemimpin yang Cinta Rakyat #GerakanMERAHPUTIH 🇮🇩 ️🇮🇩,1/2/2023
12,Sahabat Ganjar Magelang 🇮🇩 on Twitter,https://twitter.com/saga_magelang/status/1609720026810159105,"""Pemimpin BERPRESTASI Saatnya Pak @ganjarpranowo 🇮🇩 terbang lebih tinggi, saatnya Beliau menjadi RI 1 meneruskan estafet kepemimpinan Presiden @jokowi 🇮🇩 . Saatnya Beliau, membawa INDONESIA terbang semakin tinggi dengan penuh prestasi. #capres2024 #ganjarpresiden2024""",1/2/2023
13,"Ali Syarief on Twitter: ""Indikator Politik : Elektabilitas Ganjar dan ...",https://twitter.com/alisyarief/status/1610579288851365890,"""Indikator Politik : Elektabilitas Ganjar dan Prabowo Naik, Anies Turun. https://t.co/GgFOH8i3GT""",1/4/2023
14,"Sahabat Ganjar Jawa Timur Official on Twitter: ""Ganjar langsung turun ...",https://twitter.com/SAGA_Jatim/status/1610518954686152705,"Ganjar langsung turun ke lokasi banjir, bentuk tanggung jawab kepada rakyat #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #GanjarPilihanJokowi #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah . 04 Jan 2023 06:10:15",1/4/2023
15,"tempo.co on Twitter: ""Membedah Survei Capres dan Elektabilitas Jadi ...",https://twitter.com/tempodotco/status/1610658575139106816,Membedah Survei Capres dan Elektabilitas Jadi Rujukan Pilpres 2024? Pengamat Politik Unpad Bilang Begini https://nasional.tempo.co/read/1675849/membedah-survei-capres ...,1/4/2023
16,"gw emang kadrun on Twitter: ""Ya Jls Lbh baik Yg Tdk Hbi Tnton Bok..Lah ...",https://twitter.com/Sis89370263/status/1610448505973407745,"Tidak Baik Jadi Pemimpin, Buktinya Jateng Sj Predikat Prop Terkismin. Sama-sama Gubernur, Anies Baswedan VS Ganjar Pranowo Siapa yang Paling Baik Kualitas Kerjanya? 04 Jan 2023 01:30:19",1/4/2023
17,"BersamaGanjar on Twitter: ""Pak Ganjar pantas jadi pemimpin 2024 # ...",https://twitter.com/bersama_ganjar/status/1610863835119853569,Pak Ganjar pantas jadi pemimpin 2024 #ganjarpranowo #ganjar_pranowo #ganjarkita #ganjaruntukindonesia #sahabatganjar #relawanganjar #capres2024 #ganjarpranowofor2024 #GanjarPilihanRakyat #GanjarHebat #GanjarAmanah #GanjarBertanggungjawab #GanjarPilihanJokowi .,1/5/2023
